day,open,high,low,close,volume,entry,20daymax,maxday,HoldDays,ProfitRate,preday,preopen,prehigh,prelow,preclose,prevolume
2020/7/24,90.987503,92.970001,89.144997,92.614998,185438800,89.5274974,124.8675,2020/8/21,28,39.474%,2020/7/23,96.997498,97.077499,92.010002,92.845001,197004400
2020/7/28,94.3675,94.550003,93.247498,93.252502,103625600,93.3777485,128.785004,2020/8/24,27,37.918%,2020/7/27,93.709999,94.904999,93.480003,94.809998,121214000
2020/7/27,93.709999,94.904999,93.480003,94.809998,121214000,93.6225026,128.785004,2020/8/24,28,37.558%,2020/7/24,90.987503,92.970001,89.144997,92.614998,185438800
2020/7/29,93.75,95.230003,93.712502,95.040001,90329200,93.8642521,128.785004,2020/8/24,26,37.203%,2020/7/28,94.3675,94.550003,93.247498,93.252502,103625600
2020/7/30,94.1875,96.297501,93.767502,96.190002,158130000,94.0205019,128.785004,2020/8/24,25,36.975%,2020/7/29,93.75,95.230003,93.712502,95.040001,90329200
2020/3/23,57.02,57.125,53.1525,56.092499,336752800,53.54975,72.0625,2020/4/14,22,34.571%,2020/3/20,61.794998,62.9575,57,57.310001,401693200
2020/7/23,96.997498,97.077499,92.010002,92.845001,197004400,92.5167517,118.392502,2020/8/20,28,27.969%,2020/7/22,96.692497,97.974998,96.602501,97.272499,89001600
2020/7/31,102.885002,106.415001,100.824997,106.260002,374336800,101.3839974,128.785004,2020/8/24,24,27.027%,2020/7/30,94.1875,96.297501,93.767502,96.190002,158130000
2020/8/5,109.377502,110.392502,108.897499,110.0625,121992000,109.0469993,137.979996,2020/9/2,28,26.533%,2020/8/4,109.1325,110.790001,108.387497,109.665001,173071600
2020/8/11,111.970001,112.482498,109.107498,109.375,187902400,109.444998,137.979996,2020/9/2,22,26.072%,2020/8/10,112.599998,113.775002,110,112.727501,212403600
2020/4/2,60.084999,61.287498,59.224998,61.232498,165934000,59.431248,74.75,2020/5/1,29,25.776%,2020/4/1,61.625,62.18,59.782501,60.227501,176218400
2020/8/6,110.404999,114.412498,109.797501,113.902496,202428800,110.2590007,137.979996,2020/9/2,27,25.142%,2020/8/5,109.377502,110.392502,108.897499,110.0625,121992000
2020/3/20,61.794998,62.9575,57,57.310001,401693200,57.59575,72.0625,2020/4/14,25,25.118%,2020/3/19,61.8475,63.209999,60.6525,61.195,271857200
2020/8/10,112.599998,113.775002,110,112.727501,212403600,110.3775002,137.979996,2020/9/2,23,25.007%,2020/8/7,113.205002,113.675003,110.292503,111.112503,198045600
2020/4/3,60.700001,61.424999,59.7425,60.352501,129880000,59.9107499,74.75,2020/5/1,28,24.769%,2020/4/2,60.084999,61.287498,59.224998,61.232498,165934000
2020/8/12,110.497498,113.275002,110.297501,113.010002,165944800,110.5952511,137.979996,2020/9/2,21,24.761%,2020/8/11,111.970001,112.482498,109.107498,109.375,187902400
2020/8/7,113.205002,113.675003,110.292503,111.112503,198045600,110.630753,137.979996,2020/9/2,26,24.721%,2020/8/6,110.404999,114.412498,109.797501,113.902496,202428800
2020/8/4,109.1325,110.790001,108.387497,109.665001,173071600,108.6277474,134.800003,2020/9/1,28,24.094%,2020/8/3,108.199997,111.637497,107.892502,108.9375,308151200
2020/4/1,61.625,62.18,59.782501,60.227501,176218400,60.0222509,73.6325,2020/4/30,29,22.675%,2020/3/31,63.900002,65.622498,63,63.572498,197002000
2020/3/24,59.09,61.922501,58.575001,61.720001,287531200,58.909751,72.0625,2020/4/14,21,22.327%,2020/3/23,57.02,57.125,53.1525,56.092499,336752800
2020/8/14,114.830002,115,113.044998,114.907501,165565200,113.2404982,137.979996,2020/9/2,19,21.847%,2020/8/13,114.43,116.042503,113.927498,115.010002,210082000
2020/7/14,94.839996,97.254997,93.877502,97.057503,170989200,94.2152515,114.412498,2020/8/6,23,21.437%,2020/7/13,97.264999,99.955002,95.2575,95.477501,191649200
2020/7/22,96.692497,97.974998,96.602501,97.272499,89001600,96.7397507,117.162498,2020/8/19,28,21.111%,2020/7/21,99.172501,99.25,96.7425,97,103646000
2020/8/3,108.199997,111.637497,107.892502,108.9375,308151200,108.2670015,131,2020/8/31,28,20.997%,2020/7/31,102.885002,106.415001,100.824997,106.260002,374336800
2020/7/17,96.987503,97.147499,95.839996,96.327499,92186800,95.9707463,116.042503,2020/8/13,27,20.914%,2020/7/16,96.5625,97.404999,95.904999,96.522499,110577600
2020/3/18,59.942501,62.5,59.279999,61.6675,300233600,59.6019991,72.0625,2020/4/14,27,20.906%,2020/3/17,61.877499,64.402496,59.599998,63.215,324056000
2020/8/13,114.43,116.042503,113.927498,115.010002,210082000,114.1389985,137.979996,2020/9/2,20,20.888%,2020/8/12,110.497498,113.275002,110.297501,113.010002,165944800
2020/8/17,116.0625,116.087502,113.962502,114.607498,119561600,114.175002,137.979996,2020/9/2,16,20.850%,2020/8/14,114.830002,115,113.044998,114.907501,165565200
2020/8/18,114.352501,116,114.0075,115.5625,105633600,114.20675,137.979996,2020/9/2,15,20.816%,2020/8/17,116.0625,116.087502,113.962502,114.607498,119561600
2020/7/16,96.5625,97.404999,95.904999,96.522499,110577600,96.054999,116.042503,2020/8/13,28,20.808%,2020/7/15,98.989998,99.247498,96.489998,97.724998,153198000
